Word,Meaning
assail,with attack violently         
forge,workshop for the shaping of metal to shape metal lead  
lassitude,weariness tiredness          
duress,threats to compel smb        
canvass,discuss thoroughly sort of touting       
volatile,changeable inconstant fickle unstable explosive       
reverent,feeling or showing deep respect     
dissent,have a different opinion refuse to assent     
heterogeneous,made up of different kinds       
propagation,increasing the number spreading extending       
obtuse,blunt/stupid         
imperious,commanding haughty arrogant         
specious,illogical of questionable truth or merit      
profuse,abundant/lavish         
impede,hinder get in the way of      
effete,infertile worn out weak        
credulous,ready to believe things        
curmudgeon,bad-tempered person          
foible,defect of character (a person is wrongly proud)    
preen,tidy/show self-satisfaction        
espouse,marry give one's support to       
arduous,steep difficult ascent laborious        
ensign,flag/badge         
apotheosis,deification glorification to godliness        
teetotal,oppose to alcohol         
proliferate,grow reproduce by rapid multification       
skiff,small boat          
petulant,unreasonably impatient          
ingenuous,naive young artless frank honest sincere      
ambivalent,having both of two contrary meanings      
froward,intractable not willing to yield or comply stubborn    
malevolence,wishing to do evil        
antidote,medicine used against a poison or a disease    
fixate,stare at          
adulteration,making unpure poorer in quality       
skit,short piece of humorous writing       
underbid,make a lower bid then smb else     
taunt,contemptuous reproach hurtful remark        
incise,engrave make a cut in       
epistle,letter           
dogmatic,positive certain arbitrary without room for discussion     
inasmuch,since because          
crass,very great (es. stupidity)      
strut,a supporting bar         
sermon,reproving a person for his faults    
vilify,slander say evil things        
ingest,take in by swallowing        
idolatry,excessive admiration of         
perspicacity,quick judging and understanding        
putrefaction,becoming rotten        
recondite,little known abstruse         
poignant,deeply moving keen         
exploit,brilliant achievement develop use selfishly       
idiosyncrasy,personal mannerism          
divestiture,taking off getting rid of giving up     
preclude,prevent make impossible         
savor,taste flavor smth         
irascible,irritable easily angered         
shun,keep away from avoid        
sidestep,step to one side        
nexus,a connection tie or link       
mendicant,a beggar          
stigmatize,describe smb scornfully         
elaborate,worked out with much care in great detail    
disparate,essentially different          
shunt,send from one track to another lay aside evade discussion  
nonplused,greatly surprised          
desultory,aimless haphazard digressing at random       
discrete,individually distinct        
elicit,draw out          
disseminate,distribute (esp. ideas)         
propinquity,nearness in time or place affinity of nature    
trickle,flow in drops       
profligate,wasteful prodigal licentious extravagant        
salutary,remedial wholesome causing improvement        
pedantic,bookish showing off learning        
indulgent,inclined to indulge         
enigma,smth that is puzzling        
cordon,line (of police acting as a guard)     
pedestrian,commonplace trite unremarkable         
tortuous,devious/not straightforward        
gust,outburst of feeling sudden rain wind fire etc.    
profundity,depth           
subpoena,written order requiring a person to appear in a low court 
obfuscate,to darken make obscure muddle       
deplete,use until none remains        
assiduous,diligent hard-working sedulous         
incumbents,official duties          
audacious,daring foolishly bold impudent        
turgid,excessively ornate swollen or bloated       
agog,eager/excited         
torpid,sleeping sluggish lethargic dormant        
acarpous,effete no longer fertile worn out      
equable,steady regular          
disingenuous,sophisticated artful trying to deceive cunning      
felicitous,apt suitably expressed well chosen apropos      
malign,injurious speak ill of smb tell lie     
balk,obstacle purposely to get on the way of    
serration,having a toothed edge        
vagary,strange act or idea        
peremptory,urgent imperative unchallengeable ending debate       
drawl,slow way of speaking      
transgress,break go beyond (a limit)       
dawdler,person who is slow waste of time     
pungency,sharpness stinging quality         
liberality,free giving generosity         
predominate,have more power than others       
shrewd,astute showing sound judgement        
proclivity,inclination           
cabal,a scheme or plot a group of plotters    
expostulate,argue earnestly to dissuade correct or protest     
extant,still in existence         
epicurean,devoted to pleasure (sensuous enjoyment)       
castigation,severe punishment          
impassive,unmoved feeling no sign of passion      
impudent,rash indiscreet          
involute,complex           
implosion,collapse bursting inward         
belligerent,(person nation) waging war        
sting,smth sharp          
miser,person who loves wealth and spends little     
limp,lacking strength walking unevenly        
pyre,large pile of wood for burning      
rift,split crack dissension         
maladroit,tactless clumsy          
extinguish,end the existence of/wipe or put out   
deluge,great flood heavy rush of water      
abysmal,bottomless extreme          
plod,continue doing smth without resting       
efficacy,production of a desired result       
edible,fit to be eaten/not poisonous     
halcyon,calm and peaceful       
gullible,easily gulled          
rabble,mob crowd the lower classes of populace     
vivacious,lively high-spirited          
propitious,auspicious presenting favorable circumstances        
forestall,prevent by taking action in advance preempt     
waffle,talk vaguely and without much result    
refractory,stubborn unmanageable untractable         
cloture,closing device (in Parliament) to end a debate by voting  
levity,lack of seriousness       
endearing,making dear or liked        
predilection,special liking mental preference        
vex,annoy distress trouble         
virago,a loud domineering woman a scold or nag    
woo,try to win         
inclined,directing the mind in a certain direction     
precepts,rules establishing standards of conduct       
stipple,paint with dots       
disallow,refuse to allow or accept as a correct    
mendacity,dishonesty           
antithetical,direct opposing          
mince,pronounce or speak affectedly euphemize       
trite,not new          
sanction,approval (by authority) penalty        
judicious,sound in judgment wise        
protracted,prolonged           
plunge,move quickly suddenly and with force      
lavish,giving or producing freely liberally or generously     
cordial,warm and sincere         
aplomb,self-confidence           
ponderous,heavy bulky dull         
pugnacious,fond of in the habit of fighting     
feckless,lacking purpose or vitality ineffective careless      
ascend,go or come up        
sumptuous,magnificent           
chauvinist,a blindly devoted patriot        
ignoble,dishonorable common undignified         
raffish,low vulgar base tawdry        
approbation,approval           
felon,person guilty of murder        
impecunious,having little or no money       
inferno,hell         
torque,twisting force causing rotation      
renovate,restore smth to better condition       
neophyte,person who has been converted to a belief    
constrain,compel         
flout,reject mock to go against (as in going against tradition)  
sequence,succession connected line of        
exuberance,state of growing vigorously being full of life    
tenuous,insubstantial flimsy weak         
overhaul,examine thoroughly to learn about the condition     
rant,use extravagant language         
feud,bitter quarrel over a long period of time    
burgeon,grow forth send out buds       
noxious,harmful           
opaqueness,dullness/not allowing light to pass through    
florid,very much ornamented naturally red (e.g.. of face)    
heresy,belief contrary to what is generally accepted     
spear,weapon with a metal point on a long shaft   
fervor,warmth of feelings earnestness        
nostrum,a quack remedy an untested cure      
sheath,cover for the blade of a weapon or a tool  
droll,jesting         
grovel,crawl humble oneself         
visceral,of the internal organs of the body     
extricable,that can be freed        
recidivism,relapse into antisocial or criminal behavior      
veer,change direction          
obviate,to make unnecessary get rid of      
personable,pleasing in appearance attractive        
serrated,having a toothed edge        
coeval,of the same period coexisting       
labyrinthine,to entangle the state of affairs      
tautology,a repetition a redundancy        
interim,as an installment         
satiate,satisfy fully          
truculence,aggressiveness ferocity          
lachrymose,causing tears tearful         
eulogy,formal praise panegyric         
contemn,to scorn or despise        
morose,ill-tempered unsocial          
garble,make unfair selection from facts     
inimical,harmful or friendly         
prevalent,common           
stolid,showing no emotion impassive        
brass,yellow metal (mixing copper and zinc)      
avow,admit. Declare openly         
wend,to go proceed         
chary,cautious wary          
compunction,feeling of regret for one's action      
inculcate,fix firmly by repetition        
anguish,severe suffering        
quixotic,generous unselfish          
dainty,pretty/delicate(food)/difficult to please       
emote,stir up excite         
bigot,stubborn narrow-minded person         
ascertain,get to know         
barren,not good enough unable to have young ones without value  
foppish,like a man who pays too much attention to his clothes 
